만족도,단어,빈도수
561,만족,화재,99
562,만족,동안,98
563,만족,무척,98
564,만족,가게,97
565,만족,선택,97
566,만족,동생,97
567,만족,첫,97
568,만족,댕댕,96
569,만족,시험지,96
570,만족,황사,96
571,만족,에드,96
572,만족,안보,96
573,만족,풍구,96
574,만족,주신,96
575,만족,무리,95
576,만족,그대로,95
577,만족,적응,94
578,만족,근육,94
579,만족,피,93
580,만족,강력,93
581,만족,수술,93
582,만족,초,93
583,만족,컬러,93
584,만족,작,93
585,만족,논,93
586,만족,꽉,93
587,만족,절대,92
588,만족,인생,92
589,만족,매장,92
590,만족,스프레이,92
591,만족,통증,92
592,만족,머,92
593,만족,강,92
594,만족,쏙,92
595,만족,절삭,92
596,만족,드,92
597,만족,실,91
598,만족,별,91
599,만족,량,91
600,만족,매,91
601,만족,저녁,90
602,만족,병원,90
603,만족,필수,89
604,만족,며칠,89
605,만족,개인,89
606,만족,추,89
607,만족,서도,88
608,만족,쎄,88
609,만족,물걸레,88
610,만족,껌,88
611,만족,포트,88
612,만족,그동안,88
613,만족,이전,88
614,만족,확,87
615,만족,사료,87
616,만족,은,87
617,만족,유리,87
618,만족,회전,87
619,만족,담배,86
620,만족,모든,86
621,만족,문자,86
622,만족,단계,86
623,만족,젠,86
624,만족,주방,86
625,만족,개월,86
626,만족,그네,85
627,만족,밤,85
628,만족,아직까지,85
629,만족,일주일,85
630,만족,손잡이,85
631,만족,영,85
632,만족,무늬,85
633,만족,정리,85
634,만족,진,85
635,만족,생신,84
636,만족,중국산,84
637,만족,슬립,84
638,만족,스마트,84
639,만족,값,83
640,만족,류,83
641,만족,까지,83
642,만족,여름,83
643,만족,트,83
644,만족,금액,83
645,만족,견고,83
646,만족,안정,83
647,만족,맘에듭니,82
648,만족,치석제거,82
649,만족,오히려,82
650,만족,전화,82
651,만족,회색,82
652,만족,적,82
653,만족,관절,81
654,만족,광고,81
655,만족,문의,81
656,만족,사면,81
657,만족,휴대,81
658,만족,칸,80
659,만족,비치,80
660,만족,나노,80
661,만족,주기,80
662,만족,마트,80
663,만족,싹,80
664,만족,발송,80
665,만족,모습,80
666,만족,기계,80
667,만족,그게,80
668,만족,무료,79
669,만족,티,79
670,만족,착,79
671,만족,청정,79
672,만족,개별,79
673,만족,기한,79
674,만족,방향,79
675,만족,외,78
676,만족,성분,78
677,만족,네,78
678,만족,중이,78
679,만족,노트,77
680,만족,퀵차,77
681,만족,거기,77
682,만족,대신,77
683,만족,질도,77
684,만족,려,76
685,만족,미끄럼,76
686,만족,봣,76
687,만족,양면,76
688,만족,세븐,76
689,만족,지고,76
690,만족,장난,76
691,만족,키,76
692,만족,혼자,76
693,만족,안정감,76
694,만족,플러스,76
695,만족,약국,75
696,만족,글,75
697,만족,장점,75
698,만족,자동차,75
699,만족,먹기,75
700,만족,합성,75
701,만족,친정,75
702,만족,굿굿굿,75
703,만족,미용,75
704,만족,이사,75
705,만족,지지,75
706,만족,쓰레기통,74
707,만족,참고,74
708,만족,사려,74
709,만족,제발,74
710,만족,전부,74
711,만족,교정,74
712,만족,어버이날,73
713,만족,탈,73
714,만족,터,73
715,만족,직하,73
716,만족,화장실,72
717,만족,천연,72
718,만족,길,72
719,만족,대시보드,72
720,만족,기회,71
721,만족,광,71
722,만족,대요,71
