단어,빈도수합계
1693,요기,149
1694,형태,153
1695,탁,152
1696,편지,142
1697,정상,165
1698,쨍,160
1699,옷장,151
1700,광택,150
1701,모루,146
1702,칭찬,143
1703,고구마,151
1704,분리,155
1705,탄성,144
1706,쿨러,149
1707,보임,176
1708,순,146
1709,갯수,144
1710,부경,140
1711,요청,161
1712,아유,145
1713,뽁뽁이,144
1714,라서,146
1715,보호대,153
1716,비갑,138
1717,주부,139
1718,오리발,139
1719,화요일,147
1720,빠,146
1721,방금,143
1722,축,146
1723,기어,140
1724,제법,141
1725,홀더,148
1726,갓,145
1727,숟가락,141
1728,자동,152
1729,수분크림,140
1730,소독기,142
1731,인증,141
1732,코디,143
1733,흠집,172
1734,안장,144
1735,표,143
1736,정착,136
1737,당,139
1738,핀,151
1739,추강,136
1740,회,145
1741,살수,137
1742,능,145
1743,통통,142
1744,놈,141
1745,물걸레,135
1746,놀랬,143
1747,세로,149
1748,골,142
1749,마이,139
1750,제로,138
1751,생신,139
1752,양은,162
1753,간지,140
1754,소개,137
1755,과정,155
1756,연한,149
1757,깜놀,144
1758,초코,146
1759,매력,136
1760,최소,162
1761,헤드,149
