만족도,단어,빈도수
583,만족,슬림,63
584,만족,냄새,63
585,만족,결정,63
586,만족,여러가지,63
587,만족,가게,62
588,만족,아버지,62
589,만족,바닥,61
590,만족,상담,61
591,만족,이면,61
592,만족,밍,61
593,만족,라면,61
594,만족,갑자기,61
595,만족,기스,61
596,만족,적응,61
597,만족,깜짝,61
598,만족,완료,61
599,만족,영상,61
600,만족,오류,61
601,만족,세기,61
602,만족,옆,60
603,만족,기간,60
604,만족,무조건,60
605,만족,매번,60
606,만족,스마트,60
607,만족,연락,60
608,만족,앱,60
609,만족,가방,60
610,만족,여기저기,60
611,만족,강력,59
612,만족,불량화소,59
613,만족,동안,59
614,만족,셀카,59
615,만족,단자,59
616,만족,유리,59
617,만족,각도,59
618,만족,평소,59
619,만족,실물,59
620,만족,네,58
621,만족,레드,58
622,만족,문,58
623,만족,만큼,58
624,만족,붙이,58
625,만족,수령,58
626,만족,작,58
627,만족,이구,58
628,만족,대로,58
629,만족,티,58
630,만족,얼른,57
631,만족,마,57
632,만족,조,57
633,만족,착용,57
634,만족,물품,57
635,만족,기회,57
636,만족,비갑,57
637,만족,스티커,57
638,만족,얼굴,57
639,만족,컴터,57
640,만족,먼저,56
641,만족,백업,56
642,만족,자료,56
643,만족,젠더,56
644,만족,가정,56
645,만족,범위,56
646,만족,최저,55
647,만족,일만,55
648,만족,옵션,55
649,만족,가족,55
650,만족,첨,55
651,만족,고척돔,55
652,만족,장점,55
653,만족,땐,55
654,만족,저번,55
655,만족,듀얼,55
656,만족,젤,55
657,만족,어차피,55
658,만족,몇개,55
659,만족,우리,55
660,만족,엣지,54
661,만족,주말,54
662,만족,적축,54
663,만족,장난,54
664,만족,타격,54
665,만족,법도,54
666,만족,아직까지,54
667,만족,메,54
668,만족,굿굿굿,54
669,만족,끼,54
670,만족,지지,54
671,만족,그게,54
672,만족,믿음,54
673,만족,필수,54
674,만족,개봉,53
675,만족,파일,53
676,만족,토요일,53
677,만족,털,53
678,만족,마자,53
679,만족,드디어,53
680,만족,키보,53
681,만족,벌써,53
682,만족,견고,53
683,만족,화장실,52
684,만족,늘,52
685,만족,오래오래,52
686,만족,저장,52
687,만족,가로,52
688,만족,인지,52
689,만족,밤,52
690,만족,컬러,51
691,만족,대신,51
692,만족,본체,51
693,만족,첫,51
694,만족,스틸,51
695,만족,이나,51
696,만족,도착,51
697,만족,센터,51
698,만족,고척,51
699,만족,욤,51
700,만족,강,51
701,만족,랜선,50
702,만족,충격,50
703,만족,증폭기,50
704,만족,뻑뻑,50
705,만족,촬영,50
706,만족,자취,50
707,만족,수준,50
708,만족,발송,50
709,만족,장비,50
710,만족,겨,50
711,만족,이사,50
712,만족,열,50
713,만족,저녁,49
714,만족,여유,49
715,만족,용이,49
716,만족,쇼,49
717,만족,연휴,49
718,만족,오오,49
719,만족,오프라인,48
720,만족,칼,48
721,만족,프리미엄,48
722,만족,얼마,48
723,만족,전부,48
724,만족,배송비,48
725,만족,모바일,48
726,만족,냥,48
727,만족,노랑,48
728,만족,아침,48
729,만족,여자,48
730,만족,출력,48
731,만족,걸이,48
732,만족,포인트,48
733,만족,괜,47
734,만족,초,47
735,만족,인테리어,47
736,만족,는걸,47
737,만족,막상,47
738,만족,런가,47
739,만족,신분,47
740,만족,잭,47
741,만족,속,46
742,만족,직,46
743,만족,범퍼,46
744,만족,수명,46
745,만족,지고,46
746,만족,여러분,46
747,만족,난,46
748,만족,가까이,46
749,만족,모로,46
750,만족,답변,46
751,만족,고객,46
752,만족,간지,46
753,만족,자가,46
754,만족,찌,45
755,만족,짜증,45
756,만족,반신반의,45
757,만족,방문,45
758,만족,뒷,45
759,만족,염,45
760,만족,다소,45
761,만족,우체국택배,45
762,만족,적,45
763,만족,어어,44
764,만족,확장,44
765,만족,건전지,44
766,만족,정상,44
767,만족,옹,44
768,만족,아빠,44
769,만족,양호,44
770,만족,어머니,44
771,만족,몇번,44
772,만족,구형,44
773,만족,노이즈,44
774,만족,진,44
775,만족,이용,44
776,만족,버전,44
777,만족,아파트,44
778,만족,반품,43
779,만족,뒷면,43
780,만족,파,43
781,만족,입력,43
782,만족,볼륨,43
783,만족,정,43
784,만족,합리,43
785,만족,안정감,43
786,만족,잡음,43
787,만족,타입,43
788,만족,무료,43
789,만족,음량,43
790,만족,락,43
791,만족,만족도,43
792,만족,안전,43
793,만족,오히려,42
794,만족,아담,42
795,만족,일주일,42
796,만족,대충,42
797,만족,관리,42
798,만족,확정,42
799,만족,살걸,42
800,만족,참고,42
801,만족,막귀,42
802,만족,와이프,42
803,만족,배달,42
804,만족,시야,42
805,만족,채,42
806,만족,세대,42
807,만족,비용,41
808,만족,리뷰,41
809,만족,약,41
810,만족,한성,41
811,만족,골드,41
812,만족,머리,41
813,만족,저가,41
814,만족,사이트,41
815,만족,언제,41
816,만족,준,41
817,만족,배그,41
818,만족,변경,41
819,만족,타이핑,41
820,만족,그동안,41
821,만족,안보,41
822,만족,다운,41
823,만족,일정,41
824,만족,모서리,41
825,만족,투명,41
826,만족,뉴,41
827,만족,표시,40
828,만족,컴,40
829,만족,강화,40
830,만족,젠,40
831,만족,누구,40
832,만족,프로그램,40
833,만족,인기,40
834,만족,대한,40
835,만족,그럭저럭,40
836,만족,매,40
837,만족,진심,40
838,만족,안심,40
839,만족,의,39
840,만족,경쾌,39
841,만족,사양,39
842,만족,월요일,39
843,만족,모,39
844,만족,보시,39
845,만족,입문,39
846,만족,중이,39
847,만족,애용,39
848,만족,쓰시,39
849,만족,상자,39
850,만족,클릭,39
851,만족,블루,39
852,만족,딸,39
853,만족,청소기,39
854,만족,이벤트,38
855,만족,월,38
856,만족,보임,38
857,만족,스탠드,38
858,만족,대요,38
859,만족,각,38
860,만족,보관,38
861,만족,요가,38
862,만족,내장,38
863,만족,가면,38
864,만족,옴,38
865,만족,통신사,38
866,만족,동봉,38
867,만족,다가,38
868,만족,기준,38
869,만족,마이크로,38
870,만족,한가지,38
871,만족,직원,38
872,만족,쎄,38
873,만족,듣기,38
874,만족,도어,38
875,만족,원목,37
876,만족,누,37
877,만족,테두리,37
878,만족,세상,37
879,만족,조작,37
880,만족,댜,37
881,만족,고무,37
882,만족,우퍼,37
883,만족,위치,37
884,만족,봣,37
885,만족,소문,37
886,만족,왓,37
887,만족,전반,37
888,만족,하나로,36
889,만족,미니,36
890,만족,구성은,36
891,만족,화요일,36
892,만족,가운데,36
893,만족,여자친구,36
894,만족,체감,36
895,만족,잘못,36
896,만족,담날,36
897,만족,옛날,36
898,만족,편입,36
899,만족,쫌,36
900,만족,몇,35
901,만족,자동,35
902,만족,처,35
903,만족,금,35
904,만족,고해,35
905,만족,욥,35
906,만족,시원,35
907,만족,부실,35
908,만족,사장,35
909,만족,검은색,35
910,만족,고요,35
911,만족,하하,35
912,만족,순간,35
913,만족,보증,35
914,만족,두께,35
915,만족,감안,35
916,만족,남,35
917,만족,검정색,35
918,만족,반응,34
919,만족,뽁뽁이,34
920,만족,김,34
921,만족,실버,34
922,만족,나니,34
923,만족,회전,34
924,만족,길,34
925,만족,게다가,34
926,만족,조카,34
927,만족,뿐,34
928,만족,여름,34
929,만족,하,34
930,만족,눌리,34
931,만족,빛,34
932,만족,반,34
933,만족,얼,34
934,만족,음향,34
935,만족,세번,33
936,만족,나사,33
937,만족,이제야,33
